num	app_num	제목	출원인	IPC	CPC
1098	10-2021-7033815	무선 통신에서의 채널 래스터 설계(CHANNEL RASTER DESIGN IN WIRELESS COMMUNICATIONS)	QLC	H04L	H04L5/0012
1099	10-2021-7039313	다운링크 제어 정보를 수신하는 방법 및 장치(METHOD AND APPARATUS OF RECEIVING DOWNLINK CONTROL INFORMATION)	SSE	H04W	B01F15/00941
1100	10-2021-7038523	이동 단말기(MOBILE TERMINAL)	LGE	H04M	G06F2203/04102
1101	10-2021-7037283	비디오 코딩에서의 양방향 광학 플로우 계산의 단순화(SIMPLIFICATION OF BI-DIRECTIONAL OPTICAL FLOW CALCULATION IN VIDEO CODING)	QLC	H04N	H04N19/577
1102	10-2020-0066675	확장된 시야각을 제공하는 디스플레이 장치(Display apparatus providing expanded viewing angle)	SSE	G02B	G03G2215/0665
1103	10-2020-0066565	이동 로봇 및 이동 로봇의 제어 방법(MOBILE ROBOT AND CONTROL METHOD OF THE SAME)	LGE	B25J	B25J5/02
1104	10-2021-7035773	가요성 부품의 지지구 및 표시 장치(SUPPORT TOOL FOR FLEXIBLE COMPONENT AND DISPLAY DEVICE)	SEL	G09F	H01G4/26
1105	10-2021-7033493	계정을 관리하기 위한 사용자 인터페이스들(USER INTERFACES FOR MANAGING AN ACCOUNT)	APPLE	G06Q	G06F9/45512
1106	10-2020-0066275	공간 살균 시스템(SPACE STERILIZATION SYSTEM)	LGE	A61L	A61L2/10
1107	10-2020-0066095	표시 장치 및 그의 제조 방법(DISPLAY DEVICE AND MANUFACTURING METHOD THEREOF)	SSD	H01L	H01J31/15
1108	10-2020-0059595	스캔 구동부 및 이를 포함하는 표시장치(Scan Driver and Display Device including the same)	LGD	G09G	G09G2230/00
1109	10-2021-7032788	인트라 예측 기반 영상 코딩에서의 변환(TRANSFORM IN INTRA PREDICTION-BASED IMAGE CODING)	LGE	H04N	H04N19/122
1110	10-2020-0066593	영상표시장치, 서버 및 그 동작방법(IMAGE DISPLAY APPARATUS, SERVER AND METHOD THEREOF)	LGE	G06F	G06F16/86
1111	10-2020-0066523	전원 절체 제어기를 포함하는 전력 시스템 및 그의 구동 방법(Power system including power switching controller and method of operating the same)	SSE	H02J	H02J3/44
1112	10-2020-0066493	메모리 모듈 및 메모리 모듈의 동작 방법(MEMORY MODULE AND METHOD FOR OPERATING MEMORY MODULE)	SSE	G11C	G06V30/50
1113	10-2020-0066023	표시 패널 및 전자 기기(display panel and electric apparatus)	SSD	H01L	G02F1/133512
1114	10-2020-0066278	에어클린팬(Air cean fan)	LGE	F04D	H01L2224/85054
1115	10-2020-0066028	표시 장치 및 전자 기기(display device and electric apparatus)	SSD	H01L	G05B2219/32008
1116	10-2020-0066018	표시장치(Display device)	SSD	H01L	A01K5/0128
1117	10-2021-7037301	제1SIM 네트워크를 이용하여 제2SIM 네트워크에 대한 유입 서비스 통지를 수신하기 위한 방법 및 시스템(METHOD AND SYSTEMS FOR RECEIVING INCOMING SERVICE NOTIFICATION FOR SECOND SIM NETWORK USING FIRST SIM NETWORK)	SSE	H04W	B60K2370/66
1118	10-2021-0169111	트랜지스터, 반도체 장치, 상기 반도체 장치를 사용한 표시 장치, 상기 표시 장치를 사용한 표시 모듈, 및 상기 반도체 장치, 상기 표시 장치, 및 상기 표시 모듈을 사용한 전자 기기(TRANSISTOR, SEMICONDUCTOR DEVICE, DISPLAY DEVICE INCLUDING THE SEMICONDUCTOR DEVICE, DISPLAY MODULE INCLUDING THE DISPLAY DEVICE, AND ELECTRONIC DEVICE INCLUDING THE SEMICONDUCTOR DEVICE, THE DISPLAY DEVICE, AND THE DISPLAY MODULE)	SEL	H01L	H01L29/7869
1119	10-2021-0167881	어레이 기판 및 이를 이용한 집적 회로 실장 방법(ARRAY SUBSTRATE AND METHOD FOR MOUNTING INTEGRATED CIRCUIT USING THE SAME)	SSD	H01L	G02F1/13458
1120	10-2021-0144551	반도체 장치(SEMICONDUCTOR DEVICE)	SEL	G11C	H01L27/11801
1121	10-2021-7034594	디바이스 메타데이터를 위한 폐쇄 자막 스트림 사용(USING A CLOSED CAPTION STREAM FOR DEVICE METADATA)	GOOGLE	H04N	F16J2015/0818
1122	10-2020-0176561	청소기(Cleaner)	LGE	A47L	Y10S40/915
1123	10-2020-0066011	청소 로봇 및 그 제어 방법(CLEANING ROBOT AND CONTROLLING METHOD THEREOF)	SSE	B25J	B25J9/1664
1124	10-2020-0065981	플래시 LED 패키지(FLASH LED PACKAGE)	SSE	H01L	G03F7/092
1125	10-2020-0065661	디스플레이를 포함하는 신체 착용형 전자 장치(WEARABLE ELECTRONIC DEVICE INCLUDING DISPLAY)	SSE	G02B	G06F1/163
1126	10-2020-0065031	표시 장치 및 이의 제조 방법(DISPLAY DEVICE AND METHOD FOR FABRICATION THEREOF)	SSD	H01L	H01L51/5203
1127	10-2020-0064691	레이저 본딩 장치 및 그의 레이저 본딩 방법(laser bonding apparatus and laser bonding method of the same)	SSE	H01L	A61N2005/067
1128	10-2020-0064181	표시 장치 및 그 구동 방법(DISPLAY DEVICE AND DRIVING METHOD THEREOF)	SSD	G09G	B41J2/362
1129	10-2020-0056111	이동 로봇 시스템의 송출기 및 이의 이탈 감지 방법(TRANSMITTER OF MOVING ROBOT SYSTEM AND METHOD FOR DETECTING THIEF OF TRAMSMITTER)	LGE	G08B	A47L2201/04
1130	10-2020-0065814	광학시트, 백라이트 유닛 및 액정표시장치(Optical sheet, backlight unit and liquid crystal display device)	LGD	F21V	G02B6/0025
1131	10-2020-0065674	진공 청소기(VACUUM CLEANER)	SSE	A47L	A47L9/22
1132	10-2020-0065624	냉장고(Refrigerator)	LGE	F25D	F25D23/067
1133	10-2020-0065184	디스플레이 장치(Display apparatus)	SSD	H01L	G06F3/0412
1134	10-2020-0064074	표시 장치(Display device)	SSD	H01L	G02F2201/465
1135	10-2021-0069532	저전력 ECC 장치 및 이의 동작 방법(LOW POWER ECC APPARATUS AND OPERATING METHOD THEREOF)	SSE	G06F	H03M13/134
1136	10-2020-0066112	UWB(Ultra Wide Band)를 통한 레인징을 수행하기 위한 전자 장치 및 방법(ELECTRONIC DEVICE AND METHOD FOR PERFORMING RANGING THROUGH UWB)	SSE	H04W	F25B2600/2505
1137	10-2020-0065592	필름 공급 장치 및 필름 공급 장치의 필름 교체 방법(FILM PROVIDING APPARATUS AND FILM REPLACEMENT METHOD OF FILM PROVIDING APPARATUS)	SSE	H01L	B65H2701/1752
1138	10-2020-0064612	디스플레이 장치(Display apparatus)	SSD	H01L	H01L27/156
1139	10-2020-0064082	반도체 소자(SEMICONDUCTOR DEVICE)	SSE	H01L	H01L27/11556
1140	10-2020-0064072	표시 장치 및 표시 장치의 제조 방법(Display device and method of manufacturing the same)	SSD	H01L	H05K2203/168
1141	10-2021-7038289	비디오 복호화 방법 및 그 장치 및 비디오 부호화 방법 및 그 장치(VIDEO DECODING METHOD AND DEVICE THEREFOR, AND VIDEO ENCODING METHOD AND DEVICE THEREFOR)	SSE	H04N	H04N19/513
1142	10-2020-0176559	청소기(Cleaner)	LGE	A47L	H04L25/0258
1143	10-2020-0124139	미디어 관리용 사용자 인터페이스(USER INTERFACES FOR MANAGING MEDIA)	APPLE	H04N	G06F1/1686
1144	10-2020-0066029	수직형 메모리 소자를 구비한 집적회로 소자(Integrated circuit device including vertical memory device)	SSE	H01L	H01L25/0657
1145	10-2020-0065039	표시 장치(DISPLAY DEVICE)	SSD	H01L	H01J31/15
1146	10-2021-7038900	차세대 슬라이스 아키텍처를 위한 로밍 지원(ROAMING SUPPORT FOR NEXT GENERATION SLICE ARCHITECTURE)	SSE	H04W	H04W8/08
1147	10-2021-0155950	디스플레이 장치용 건조 장치(dry device for display device)	SSD	H01L	G03F7/168
1148	10-2020-0176560	청소기(Cleaner)	LGE	A47L	G11B33/1446
1149	10-2021-7036337	시각적 미디어를 캡처 및 관리하기 위한 사용자 인터페이스들(USER INTERFACES FOR CAPTURING AND MANAGING VISUAL MEDIA)	APPLE	G06F	G06F1/1686
1150	10-2021-7035706	근거리 무선통신을 이용하여 전력 클래스를 협상하는 무선충전 장치, 방법 및 시스템(WIRELESS CHARGING DEVICE, METHOD AND SYSTEM FOR NEGOTIATING POWER CLASS BY USING SHORT RANGE WIRELESS COMMUNICATION)	LGE	H02J	H01L2224/03614
1151	10-2021-0166446	유기발광 화소 및 이를 포함하는 유기발광 표시장치(ORGANIC LIGHT EMITTING PIXEL AND ORGANIC LIGHT EMITTING DISPLAY DEVICE HAVING THE SAME)	SSD	H01L	H01L51/5004
1152	10-2020-0065760	디스플레이 디바이스(DISPLAY DEVICE)	LGE	G06F	Y10S70/31
1153	10-2020-0065230	표시 장치 및 표시 장치 제조 방법(DISPLAY DEVICE AND MANUFACTURING METHOD OF DISPLAY DEVICE)	SSD	H01L	H01L27/32
1154	10-2020-0065110	반도체 장치(SEMICONDUCTOR DEVICE)	SSE	H01L	H01L21/76224
1155	10-2020-0064610	유기발광 디스플레이 장치(Organic light-emitting display apparatus)	SSD	H01L	H01H37/002
1156	10-2020-0064180	표시 장치 및 이의 구동 방법(DISPLAY DEVICE, AND METHOD OF DRIVING THE SAME)	SSD	G09G	G09G2310/08
1157	10-2020-0064170	반도체 소자 및 그의 제조 방법(SEMICONDUCTOR DEVICE AND METHOD OF MANUFACTURING THEREOF)	SSE	H01L	H01L2224/06131
1158	10-2020-0064080	증착 장치, 및 증착 장치를 이용한 증착 방법(Depositing device and depositing method using depositing device)	SSD	C23C	C23C16/4585
1159	10-2021-0041217	전자 장치 및 이의 제어 방법(ELECTRONIC DEVICE AND METHOD FOR CONTROLLING THE ELECTRONIC DEIVCE)	SSE	G06Q	G06Q30/0631
1160	10-2020-0131286	유기발광소자(An organic light emitting device)	SSD	H01L	H01L51/0062
1161	10-2020-0066066	경사 추정 장치 및 이의 동작 방법(SLOPE ESTIMATING APPARATUS AND OPERATING METHOD THEREOF)	SSE	G06T	B60W40/02
1162	10-2020-0066017	광전 소자 및 이를 포함하는 이미지 센서(Opto-electronic device and image sensor including the opto-electronic device)	SSE	H01L	H01L33/42
1163	10-2020-0065847	냉장고(REFRIGERATOR)	LGE	F25D	F25D23/028
1164	10-2020-0065626	스케줄러, 스케줄러의 동작 방법 및 이를 포함한 가속기 시스템(SCHEDULER, METHOD FOR OPERATING THE SAME AND ACCELERATOR SYSTEM INCLUDING THE SAME)	SSE	G06N	G05B2219/45168
1165	10-2020-0065066	이미지 센서(Image sensor)	SSE	H01L	H01L27/1463
1166	10-2020-0064526	폴더블 표시 장치(FOLDABLE DISPLAY DEVICE)	LGD	H01L	H01L51/529
1167	10-2020-0065027	전자 장치(ELECTRONIC DEVICE)	SSD	G06F	C12Q2326/92
1168	10-2021-0165395	유기발광 표시장치(ORGANIC LIGHT EMITTING DISPLAY DEVICE)	LGD	H01L	H01J31/20
1169	10-2020-0169465	압축된 가이드를 사용하는 이미지 센서 다운-업 샘플링(IMAGE SENSOR DOWN-UP SAMPLING USING A COMPRESSED GUIDE)	SSE	H04N	C12N2795/18163
1170	10-2020-0066025	반도체 패키지(SEMICONDUCTOR PACKAGE)	SSE	H01L	H01L23/28
1171	10-2021-7035353	무선 통신 네트워크에서 충돌을 처리하기 위한 방법 및 UE(METHOD AND UE FOR HANDLING COLLISION IN A WIRELESS COMMUNICATION NETWORK)	SSE	H04W	H04W76/18
1172	10-2020-0065745	의류 처리 장치 및 그 제어 방법(LAUNDRY TREATMENT APPARATUS AND CONTROL METHOD THEREOF)	LGE	D06F	A61L2/10
1173	10-2020-0065185	표시 장치 및 그 제조 방법(Display apparatus and manufacturing the same)	SSD	H01L	C08J2361/32
1174	10-2020-0065035	표시 장치(DISPLAY DEVICE)	SSD	G09G	G09G2230/00
1175	10-2020-0065015	표시 장치(DISPLAY DEVICE)	SSD	G02F	H01H71/04
1176	10-2020-0064605	축합환 화합물을 포함한 발광 소자 및 상기 발광 소자를 포함한 전자 장치(light emitting device including condensed cyclic compound and electronic device including the light emitting device)	SSD	H01L	H01L51/0062
1177	10-2020-0064095	유기 전계 발광 소자 유기 전계 발광 소자용 다환 화합물(ORGANIC ELECTROLUMINESCENCE DEVICE AND POLYCYCLIC COMPOUND FOR ORGANIC ELECTROLUMINESCENCE DEVICE)	SSD	H01L	C12Y302/01175
1178	10-2021-0008898	다중 원형 큐를 이용하는 호스트 컨트롤러 인터페이스 및 이의 동작 방법(HOST CONTROLLER INTERFACE USING MULTIPLE CIRCULAR QUEUE, AND OPERATING METHOD THEREOF)	SSE	G06F	C12N2501/365
1179	10-2020-0065833	이미지 센서, 이미지 센서를 포함하는 모바일 장치 및 이미지 센서의 센싱 감도 제어 방법(Image sensor, mobile device including the same and method of controlling sensing sensitivity of image sensor)	SSE	H04N	H04N5/3592
1180	10-2020-0065613	서버 및 이를 포함하는 시스템(SERVER AND SYSTEM INCLUDING THE SAME)	LGE	G10L	G10L15/30
1181	10-2020-0065183	정공 수송성 잉크 조성물, 발광 소자 및 이의 제조 방법(HOLE TRANSPORTING INK COMPOSITION, LIGHT EMITTING DEVICE, AND METHOD FOR MANUFACTURING THE SAME)	SSD	C09D	H01S5/3426
1182	10-2020-0065033	표시 장치(DISPLAY DEVICE)	SSD	H01L	H02H7/006
1183	10-2020-0064553	표시 패널, 이를 포함하는 표시 장치 및 이를 이용한 표시 패널의 구동 방법(DISPLAY PANEL, DISPLAY APPARATUS INCLUDING THE SAME AND METHOD OF DRIVING DISPLAY PANEL USING THE SAME)	SSD	G09G	F16K15/038
1184	10-2020-0064183	표시 장치(DISPLAY DEVICE)	SSD	G09G	G09G3/3233
1185	10-2020-0064093	유기 전계 발광 소자 유기 전계 발광 소자용 다환 화합물(ORGANIC ELECTROLUMINESCENCE DEVICE AND POLYCYCLIC COMPOUND FOR ORGANIC ELECTROLUMINESCENCE DEVICE)	SSD	H01L	C09B55/008
1186	10-2020-0060463	전자기기(Home Appliance)	LGE	H01F	H05K5/0247
1187	10-2020-0065998	가전기기(HOME APPLIANCE)	LGE	E05B	G11B15/67502
1188	10-2020-0064178	화소 및 이를 포함한 표시 장치(PIXEL AND DISPLAY DEVICE INCLUDING THE SAME)	SSD	H01L	H01L51/5203
1189	10-2020-0064118	표시장치 및 계조값 조정방법(DISPLAY DEVICE AND ADJUSTING METHOD OF GRADATION VALUE)	SSD	G09G	G03B27/10
1190	10-2020-0064098	표시 장치(DISPLAY DEVICE)	SSD	H01L	G03B2217/263
1191	10-2021-7035551	양극 활물질의 형성 방법(METHOD FOR PRODUCING POSITIVE ELECTRODE ACTIVE SUBSTANCE)	SEL	C01G	B29B2911/14126
1192	10-2021-0063694	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	C09K11/06
1193	10-2021-0160441	반도체 장치 및 그 제조 방법(Semiconductor device and method for fabricating the same)	SSE	H01L	D01H7/2208
1194	10-2021-0148971	아이스 메이커(Ice maker)	LGE	F25D	F25C1/24
1195	10-2021-7038452	플렉서블 디스플레이 장치(FLEXIBLE DISPLAY DEVICE)	LGE	G09F	G09F9/301
1196	10-2021-0020694	역합성 예측 모델의 학습 방법 및 장치(Method and apparatus for training retrosynthesis prediction model)	SSE	G06N	Y10S505/85
1197	10-2021-0063691	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	C12Y302/01175
1198	10-2021-0063692	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	H01L2224/95147
1199	10-2020-0065471	차세대 이동통신 시스템에서 통합된 액세스 및 백홀 노드가 능력 신호를 전달하기 위한 방법 및 장치(apparatus and method for delivering capability signaling on integrated access and backhaul node in next generation wireless mobile network)	SSE	H04W	B62B1/206
1200	10-2020-0064554	유기 발광 표시 장치(ORGANIC LIGHT EMITTING DISPLAY DEVICE)	LGD	H01L	H01L51/5237
1201	10-2020-0065091	공기 조화기용 팬(Fan for Air conditoner)	LGE	F04D	A21B3/131
1202	10-2020-0065081	무선 통신 시스템에서 데이터를 송수신하는 방법 및 장치(METHOD AND APPARATUS FOR TRANSMITTING AND RECEIVING DATA IN A WIRELESS COMMUNICATION SYSTEM)	SSE	H04W	H04L29/08477
1203	10-2020-0064354	번 인 보드 테스트 장치 및 시스템(Burn in board test device and system)	SSE	G01R	H01H2227/0261
1204	10-2020-0064174	휴대용 냉장고(Portable refrigerator)	LGE	F25D	B60N3/002
1205	10-2020-0064701	반도체 패키지 및 그 제조 방법(SEMICONDUCTOR PACKAGE, AND METHOD OF MANUFACTURING THE SAME)	SSE	H01L	C04B14/4693
1206	10-2020-0063574	표시 장치(DISPLAY DEVICE)	SSD	G09G	G09G3/2003
1207	10-2020-0064361	반도체 장치(SEMICONDUCTOR DEVICE)	SSE	H01L	G01N33/005
1208	10-2020-0063891	디스플레이 장치(Display apparatus)	SSD	H01L	H01J11/36
1209	10-2020-0092342	전자 장치 및 전자 장치의 무선 충전 제어 방법(ELECTRONIC DEVICE AND METHOD FOR CONTROLLING A WIRELESS CHARGING IN THE ELECTRONIC DEVICE)	SSE	H02J	C12Q2326/92
1210	10-2020-0063651	표시 장치(DISPLAY DEVICE)	SSD	H01L	G05B2219/32267
1211	10-2020-0063351	입력감지유닛, 입력감지유닛의 제조방법 및 입력감지유닛을 포함하는 표시장치(INPUT SENSING UNIT, MANUFACTURING METHOD OF THE SAME AND DISPLAY DEVICE INCLUDING THE SAME)	SSD	G06F	G16H70/00
1212	10-2020-0065342	안테나를 포함하는 전자 장치(AN ELECTRONIC DEVICE INCLUDING ANTENNAS)	SSE	H01Q	H04M1/026
1213	10-2020-0064512	혈압 측정 방법 및 전자 장치(METHOD AND ELECTRONIC DEVICE FOR MEASURING BLOOD PRESSURE)	SSE	A61B	A61B5/00
1214	10-2020-0064232	냉장고의 도어(Door for a refrigerator)	LGE	F25D	F25D23/02
1215	10-2020-0063542	메모리 장치 및 메모리 장치를 포함하는 메모리 모듈(MEMORY DEVICE AND MEMORY MODULE COMPRISING MEMORY DEVICE)	SSE	G11C	H05K2201/10159
1216	10-2021-0161759	유기 발광 소자(Organic light emitting device)	SSD	H01L	H01L2924/057
1217	10-2021-0063689	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	C09K11/06
1218	10-2021-7038090	인터 예측에 기반한 영상 코딩 방법 및 장치(METHOD AND DEVICE FOR CODING IMAGE ON BASIS OF INTER PREDICTION)	LGE	H04N	H04N2007/30
1219	10-2021-7035370	양극 활물질의 제작 방법, 이차 전지의 제작 방법, 및 이차 전지(METHOD FOR PRODUCING POSITIVE ELECTRODE ACTIVE MATERIAL, METHOD FOR PRODUCING SECONDARY BATTERY, AND SECONDARY BATTERY)	SEL	C01G	H01L2224/95147
1220	10-2020-0065359	무선 통신 시스템에서 UWB 기반의 통행 관리를 위한 장치 및 방법(Apparatus and method for ultra-wideband based traffic passage management in wireless communication system)	SSE	G07C	F16D2500/1082
1221	10-2020-0065349	차세대 이동 통신 시스템에서 멀티캐스트를 지원하는 베어러 구조와 지원 방법 및 장치(Bearer structure and method and apparatus for supporting multicast in a next-generation mobile communication system)	SSE	H04W	B62B1/206
1222	10-2020-0064909	진공청소기(VACUUM CLEANER)	SSE	A47L	F25D23/126
1223	10-2021-0164120	반도체 장치, 이 반도체 장치를 포함하는 표시 장치(SEMICONDUCTOR DEVICE AND DISPLAY DEVICE INCLUDING THE SAME)	SEL	H01L	H01L29/7869
1224	10-2020-0064459	유기 발광 표시 장치(ORGANIC LIGHT EMITTING DISPLAY DEVICE)	LGD	H01L	H01L27/3246
1225	10-2020-0064379	마이크를 포함하는 전자 장치(electronic device having microphone)	SSE	H04M	B62B3/1432
1226	10-2021-7039076	레인지 익스텐더 장치(RANGE EXTENDER DEVICE)	GOOGLE	H04Q	B60G2206/1114
1227	10-2021-0068940	디스플레이 디바이스(DISPLAY DEVICE)	LGE	H04N	B29C2945/76926
1228	10-2021-7038926	반도체 장치(SEMICONDUCTOR DEVICE)	SEL	H01L	F16F13/1436
1229	10-2020-0064229	냉장고 및 도어(Refrigerator and door)	LGE	F25D	F25D11/02
1230	10-2021-7038446	가정 자동화를 위한 지능형 어시스턴트(INTELLIGENT ASSISTANT FOR HOME AUTOMATION)	APPLE	G10L	G05B2219/23386
1231	10-2021-0063690	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	G03G5/078
1232	10-2020-0063889	발광 소자, 이의 제조 방법, 발광 소자를 포함한 잉크 조성물 및 장치(LIGHT EMITTING DEVICE, METHOD FOR PREPARING THE SAME, INK COMPOSITION AND APPARATUS INCLUDING THE SAME)	SSD	H01L	F02M2037/08
1233	10-2021-0026510	링 스토리지에 그래픽 상태를 저장하고 이용하는 방법 및 시스템(METHOD AND SYSTEM FOR STORING AND UTILIZING GRAPHICS STATES IN A RING STORAGE)	SSE	G06T	G06F9/4881
1234	10-2021-7031806	랜덤 액세스 절차(RANDOM ACCESS PROCEDURE)	QLC	H04W	H04L5/0091
1235	10-2021-0142016	사용자 단말, 사용자 단말의 룰 실행 방법, 서버 장치 및 룰 실행 시스템(USER TERMINAL, RULE EXCUTING METHOD THEREOF, SERVER APPARATUS AND RULE EXCUTING SYSTEM)	SSE	H04W	F02M7/16
1236	10-2020-0140700	전자 장치 및 그 동작 방법(ELECTRONIC APPARATUS AND OPERAINTG METHOD THEREOF)	SSE	G06F	H04N13/0022
1237	10-2021-0063696	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	C09K11/06
1238	10-2020-0065250	전자장치 및 그 제어방법(ELECTRONICE DEVICE AND CONTROL METHOD THEREOF)	SSE	G06Q	C10M2223/08
1239	10-2020-0064230	냉장고의 도어(Door for a refrigerator)	LGE	F25D	F25D23/028
1240	10-2020-0063700	전자 장치(ELECTRONIC DEVICE)	SSD	G06F	H01K5/02
1241	10-2020-0063590	유기 전계 발광 소자 및 유기 전계 발광 소자용 아민 화합물(ORGANIC ELECTROLUMINESCENCE DEVICE AND DIAMINE COMPOUND FOR ORGANIC ELECTROLUMINESCENCE DEVICE)	SSD	H01L	C07C35/42
1242	10-2020-0063350	표시패널 및 표시패널의 제조방법(DISPLAY PANEL AND MANUFACTURING METHOD OF THE SAME)	SSD	H01L	G02F1/133512
1243	10-2020-0063270	아민 화합물 및 이를 포함한 유기 발광 소자(Amine compound and organic light emitting device including the same)	SSD	H01L	H01L51/0062
1244	10-2020-0124206	무선 통신 시스템에서 단말 능력을 보고하기 위한 방법 및 장치(METHOD AND APPARATUS FOR REPORTING CAPABILITY OF USER EQUIPMENT IN A WIRELESS COMMUNICATION SYSTEM)	SSE	H04W	B62B1/206
1245	10-2020-0064596	엣지 컴퓨팅 서비스를 이용한 영상 컨텐츠 전송 방법 및 장치(METHOD AND APPARATUS FOR TRANSMITTING VIDEO CONTENT USING EDGE COMPUTING SERVICE)	SSE	H04N	F21V9/04
1246	10-2020-0063206	폴더블 표시장치(FOLDABLE DISPLAY DEVICE)	SSD	H01L	H04N5/232127
1247	10-2020-0065187	동형 암호화 장치 및 그것의 암호문 연산 방법(HOMOMORPHIC ENCRYPTION DEVICE AND CYPHERTEXT OPERATION METHOD THEREOF)	SSE	H04L	G10H2240/095
1248	10-2020-0065157	적외선 흡수재, 적외선 흡수/차단 필름, 광전 소자, 센서 및 전자 장치(INFRARED ABSORBING MATERIAL, INFRARED ABSORBING/CUTTING FILM, PHOTOELECTRIC DEVICE, SENSOR, AND ELECTRONIC DEVICE)	SSE	C08K	A61F2013/53916
1249	10-2020-0064597	객체 인식을 수행하는 전자 장치 및 이의 동작 방법(ELECTRONIC DEVICE FOR PERFORMING OBJECT DETECTION AND OPERATION MTEHOD THEREOF)	SSE	G06T	G06F2221/2129
1250	10-2020-0063917	표시 장치 및 이를 구비한 전자 기기(display device and electric apparatus including the same)	SSD	H01L	H01L2251/558
1251	10-2020-0063537	반도체 메모리 모듈을 액세스하는 방법(METHOD FOR ACCESSING SEMICONDUCTOR MEMORY MODULE)	SSE	G06F	G06F11/102
1252	10-2021-7038285	유기 발광 다이오드 표시 장치(ORGANIC LIGHT EMITTING DIODE DISPLAY DEVICE)	LGE	G09G	F04B29/00
1253	10-2021-0063695	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	G03G5/078
1254	10-2021-7038363	정보 처리 장치 및 프로그램(INFORMATION PROCESSOR AND PROGRAM)	SEL	G06F	H04Q2213/076
1255	10-2021-7038173	표시 장치(DISPLAY DEVICE)	SEL	H01L	H01J31/20
1256	10-2021-7037833	일시정지된 레이더 제스처에 대한 시각적 표시자(VISUAL INDICATOR FOR PAUSED RADAR GESTURES)	GOOGLE	G06F	G06F3/017
1257	10-2021-7034493	이차 전지의 충전 상태 추정 방법, 이차 전지의 충전 상태 추정 시스템, 및 이차 전지의 이상 검지 방법(STATE OF CHARGE ESTIMATION METHOD FOR SECONDARY BATTERY, STATE OF CHARGE ESTIMATION SYSTEM FOR SECONDARY BATTERY, AND ABNORMALITY DETECTION METHOD FOR SECONDARY BATTERY)	SEL	G01R	G01R31/3606
1258	10-2021-7032263	양극 활물질의 형성 방법(METHOD FOR PRODUCING POSITIVE ELECTRODE ACTIVE MATERIAL)	SEL	C01G	C09J127/20
1259	10-2021-7038088	움직임 예측에 기반한 영상 코딩 방법 및 장치(MOTION PREDICTION-BASED IMAGE CODING METHOD AND DEVICE)	LGE	H04N	H04N2007/30
1260	10-2021-0163593	집진장치 및 이를 구비하는 진공 청소기(DUST COLLECTOR AND VACUUM CLEANER HAVING THE SAME)	LGE	A47L	A47L9/1691
1261	10-2021-0069113	확장 가능하고 일관성 있는 메모리 장치를 위한 시스템 및 방법(SYSTEMS AND METHODS FOR SCALABLE AND COHERENT MEMORY DEVICES)	SSE	G06F	H04N2201/0079
1262	10-2021-0067053	터치 센서 패널의 차동 구동 및 감지(DIFFERENTIAL DRIVE AND SENSE FOR TOUCH SENSOR PANEL)	APPLE	G06F	G06F3/044
1263	10-2021-0063693	유기발광장치(ORGANIC LIGHT EMITTING DEVICE)	LGD	H01L	G03G5/078
1264	10-2020-0065305	이미지 신호 프로세서, 이미지 프로세싱 방법 및 그 전자 장치(IMAGE SIGNAL PROCESSOR, IMAGE SIGNAL PROCESSING METHOD AND ELECTRONIC DEVICE THEREOF)	SSE	H04N	H04N1/40081
1265	10-2020-0064965	도어 시스템(DOOR SYSTEM)	LGE	E05D	E06B2009/1588
1266	10-2021-0146398	표시 장치 제조 방법(METHOD FOR MANUFACTURING OF DISPLAY DEVICE)	SSD	H01L	G02F1/13458
1267	10-2020-0103768	이동 통신 시스템에서 단말 간 네트워크 액세스 정보를 이전하는 방법 및 장치(METHOD AND APPARATUS TO TRANSFER NETWORK ACCESS INFORMATION BETWEEN DEVICES IN MOBILE COMMUNICATION SYSTEM)	SSE	H04W	B62B1/206
1268	10-2020-0064613	홀로그래픽 디스플레이 장치(Holographic display apparatus)	SSE	G03H	G06E3/003
1269	10-2020-0064343	마이크로 LED 전사 장치 및 이를 이용한 마이크로 LED 전사 방법(MICRO LED TRANSFERRING APPARATUS AND METHOD OF TRANSFERRING MICRO LED USING THE SAME)	SSE	H01L	G06F2212/2028
1270	10-2020-0064173	장신구 처리장치(Accessory treating apparatus)	LGE	A45C	F25D2500/06
1271	10-2020-0064123	충전 전류를 제한하는 전압 변환기 및 충전 장치(VOLTAGE CONVERTER AND CHARGING DEVICE FOR LIMITING CHARGING CURRENT)	SSE	H02M	H03L7/0891
1272	10-2020-0065268	인공 지능 장치(ARTIFICIAL INTELLIGENCE DEVICE)	LGE	G10L	G06F3/167
1273	10-2020-0063703	전자 장치(ELECTRONIC DEVICE)	SSD	G06F	G06K7/085
1274	10-2020-0063643	증착 장치 및 증착 방법(VAPOR DEPOSITION APPARATUS AND VAPOR DEPOSITION METHOD)	SSD	C23C	H01L21/6773
