cpc	description	4char	3char
H02K2213/09	. Machines characterised by the presence of elements which are subject to variation, e.g. adjustable bearings, reconfigurable windings, variable pitch ventilators	H02K	H02
H04L15/04	. Apparatus or circuits at the transmitting end	H04L	H04
H05K2203/0104	. . for patterning or coating	H05K	H05
H01J2235/068	. . Multi-cathode assembly	H01J	H01
H05K2203/1438	. . Treating holes after another process, e.g. coating holes after coating the substrate (metal used as mask for etching vias H05K2203/0554)	H05K	H05
H01F21/04	. . by relative movement of turns or parts of windings	H01F	H01
H05K2201/064	. . Fluid cooling, e.g. by integral pipes	H05K	H05
H01H7/03	. . with dash-pots	H01H	H01
H01S2301/03	. Suppression of nonlinear conversion, e.g. specific design to suppress for example stimulated brillouin scattering [SBS], mainly in optical fibres in combination with multimode pumping	H01S	H01
H04H60/25	. Arrangements for updating broadcast information or broadcast-related information	H04H	H04
H03B5/06	. . Modifications of generator to ensure starting of oscillations	H03B	H03
H03B2200/0066	. . Amplitude or AM detection	H03B	H03
H03B2200/0068	. . Frequency or FM detection	H03B	H03
H03B2200/0094	. . Measures to ensure starting of oscillations	H03B	H03
H02P29/64	. . Controlling or determining the temperature of the winding	H02P	H02
H02K19/18	. . having windings each turn of which co-operates only with poles of one polarity, e.g. homopolar generators	H02K	H02
H02K31/02	. with solid-contact collectors	H02K	H02
H04Q2213/13521	. fault management	H04Q	H04
H02H7/085	. . against excessive load {(H02H6/00 takes precedence)}	H02H	H02
H04W16/16	. . for PBS [Private Base Station] arrangements	H04W	H04
H04Q11/00	Selecting arrangements for multiplex systems (multiplex systems H04J)	H04Q	H04
H01Q21/08	. . the units being spaced along or adjacent to a rectilinear path {(waveguide fed H01Q21/0037)}	H01Q	H01
H02G15/24	. . Cable junctions	H02G	H02
H04H60/38	. . for identifying broadcast time or space	H04H	H04
H04R2231/00	Details of apparatus or processes specially adapted for the manufacture of transducers or diaphragms therefor covered by H04R31/00, not provided for in its subgroups	H04R	H04
H01R13/20	. . Pins, blades, or sockets shaped, or provided with separate member, to retain co-operating parts together	H01R	H01
H01L39/06	. . characterised by the current path	H01L	H01
H01L39/08	. . characterised by the shape of the element	H01L	H01
H01L2924/01108	. . Noble metals	H01L	H01
H03H7/03	. . comprising means for compensation of loss	H03H	H03
H03B2200/002	. . making use of ceramic material	H03B	H03
H03B2202/082	. . by avoiding coupling between these circuit elements	H03B	H03
H03K2217/9401	. . Calibration techniques	H03K	H03
H04L2463/101	. applying security measures for digital rights management (data processing systems or methods, specially adapted for commerce, e.g. marketing, shopping, billing, auctions or e-commerce G06Q 30/00)	H04L	H04
H02G15/20	. Cable fittings for cables filled with or surrounded by gas or oil (H02G15/34 takes precedence)	H02G	H02
H04L9/08	. Key distribution {or management, e.g. generation, sharing or updating, of cryptographic keys or passwords (network architectures or network communication protocols for supporting key management in a packet data network H04L63/06)}	H04L	H04
H02P29/62	. . for raising the temperature of the motor	H02P	H02
H01T4/04	. Housings (H01T4/06 takes precedence)	H01T	H01
H04H20/38	. Arrangements for distribution where lower stations, e.g. receivers, interact with the broadcast	H04H	H04
H01B12/08	. . Stranded or braided wires	H01B	H01
H03K19/08	. . using semiconductor devices (H03K19/173 takes precedence; wherein the semiconductor devices are only diode rectifiers H03K19/12)	H03K	H03
H01R13/625	. . Casing or ring with bayonet engagement	H01R	H01
H02P2207/073	. . wherein only one converter is used, the other windings being supplied without converter, e.g. doubly-fed induction machines	H02P	H02
H02P1/46	. . for starting an individual synchronous motor {(H02P27/04 takes precedence)}	H02P	H02
H04W36/16	. Performing reselection for specific purposes	H04W	H04
H01H39/00	Switching devices actuated by an explosion produced within the device and initiated by an electric current	H01H	H01
H02P21/28	. . Stator flux based control	H02P	H02
H01C17/00	Apparatus or processes specially adapted for manufacturing resistors (providing fillings for housings or enclosures H01C1/02; reducing insulation surrounding a resistor to powder H01C1/03; manufacture of thermally variable resistors H01C7/02, H01C7/04)	H01C	H01
H01Q3/00	Arrangements for changing or varying the orientation or the shape of the directional pattern of the waves radiated from an antenna or antenna system {(means for positioning H01Q1/125)}	H01Q	H01
H03H5/02	. without voltage- or current-dependent elements	H03H	H03
H03M13/39	. . Sequence estimation, i.e. using statistical methods for the reconstruction of the original codes	H03M	H03
H04M1/667	. . Preventing unauthorised calls from a telephone set (H04M1/677 takes precedence)	H04M	H04
H03B28/00	Generation of oscillations by methods not covered by groups H03B5/00 - H03B27/00, including modification of the waveform to produce sinusoidal oscillations (analogue function generators for performing computing operations G06G 7/26; use of transformers for conversion of waveform in ac-ac converters H02M5/18)	H03B	H03
H01J23/06	. . Electron or ion guns	H01J	H01
H01J2235/06	. Cathode assembly	H01J	H01
H02K44/12	. . Constructional details of fluid channels	H02K	H02
H02K44/10	. . Constructional details of electrodes	H02K	H02
H02K44/06	. . Induction pumps	H02K	H02
H02K44/02	. Electrodynamic pumps	H02K	H02
H03K4/06	. having triangular shape	H03K	H03
H01L2924/01032	. . Germanium [Ge]	H01L	H01
H04Q2201/06	. Cooling arrangements	H04Q	H04
H04J2211/008	. . Interleaved frequency division multiple access [IFDMA]	H04J	H04
H01H77/00	Protective overload circuit-breaking switches operated by excess current and requiring separate action for resetting (H01H73/00, H01H75/00 take precedence)	H01H	H01
H02P23/12	. Observer control, e.g. using Luenberger observers or Kalman filters	H02P	H02
H02P9/44	. Control of frequency and voltage in predetermined relation, e.g. constant ratio	H02P	H02
H01H33/70	. Switches with separate means for directing, obtaining, or increasing flow of arc-extinguishing fluid	H01H	H01
H03K3/84	. Generating pulses having a predetermined statistical distribution of a parameter, e.g. random pulse generators	H03K	H03
H04M3/60	. Semi-automatic systems, i.e. in which the numerical selection of the outgoing line is under the control of an operator	H04M	H04
H04M2242/18	. Automated outdialling systems	H04M	H04
H05K1/00	Printed circuits	H05K	H05
H02P2201/11	. Buck converter, i.e. DC-DC step down converter decreasing the voltage between the supply and the inverter driving the motor (general aspects of plural converters in cascade H02M)	H02P	H02
H04R21/02	. Microphones	H04R	H04
H02K9/197	. . in which the rotor or stator space is fluid-tight, e.g. to provide for different cooling media for rotor and stator	H02K	H02
H01R31/02	. Intermediate parts for distributing energy to two or more circuits in parallel, e.g. splitter (with a holder adapted for supporting apparatus to which its counterpart is attached H01R33/92)	H01R	H01
H01H5/04	. Energy stored by deformation of elastic members (by deformation of bimetallic element in thermally-actuated switches H01H37/54)	H01H	H01
H01H1/12	. characterised by the manner in which co-operating contacts engage	H01H	H01
H01H33/88	. . the flow of arc-extinguishing fluid being produced or increased by movement of pistons or other pressure-producing parts	H01H	H01
H04J4/00	Combined time-division and frequency-division multiplex systems (H04J13/00 takes precedence {; data transmission H04L5/26; telemetry G08C 15/00})	H04J	H04
H03B2201/011	. . the means being an element with a variable capacitance	H03B	H03
H01L29/66	. Types of semiconductor device {; Multistep manufacturing processes therefor}	H01L	H01
H02H9/06	. . using spark-gap arresters	H02H	H02
H02B1/01	. Frameworks	H02B	H02
H01H61/01	. Details	H01H	H01
H04H20/14	. . for monitoring programmes	H04H	H04
H05B6/54	. . Electrodes	H05B	H05
H04N17/06	. for recorders	H04N	H04
H01J1/34	. . Photo-emissive cathodes (H01J1/35 takes precedence)	H01J	H01
H01J9/12	. . of photo-emissive cathodes; of secondary-emission electrodes	H01J	H01
H04B1/72	. Circuits or components for simulating antennas, e.g. dummy antennas	H04B	H04
H02K47/30	. . Single-armature phase-number converters without frequency conversion	H02K	H02
H01B7/42	. with arrangements for heat dissipation or conduction	H01B	H01
H04M2203/258	. . Service state indications	H04M	H04
H04M2203/255	. . comprising a personalized user interface	H04M	H04
H04R2420/05	. Detection of connection of loudspeakers or headphones to amplifiers	H04R	H04
H01H13/84	. . characterised by ergonomic functions, e.g. for miniature keyboards; characterised by operational sensory functions, e.g. sound feedback (legends H01H13/83)	H01H	H01
H01L41/00	Piezo-electric devices in general; Electrostrictive devices in general; Magnetostrictive devices in general; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof; Details thereof (devices consisting of a plurality of solid-state components formed in or on a common substrate H01L27/00)	H01L	H01
H02P2209/05	. Polyphase motors supplied from a single-phase power supply or a DC power supply	H02P	H02
H04W68/10	. using simulcast notification	H04W	H04
H01H2203/038	. . to be bridged by a dome shaped contact	H01H	H01
H01K9/08	. to provide selectively different light effects, e.g. for automobile headlamp	H01K	H01
H04M2203/551	. . Call history (recording a computer conference H04L12/1831)	H04M	H04
H02K55/04	. . with rotating field windings	H02K	H02
H01T15/00	Circuits specially adapted for spark gaps, e.g. ignition circuits (ignition circuits for internal-combustion engines F02P; electric spark ignition for combustion apparatus F23Q; protection circuits using spark gaps H02H9/06)	H01T	H01
H01R4/68	. . Connections to or between superconductive connectors	H01R	H01
H04N9/793	. . for controlling the level of the chrominance signal, e.g. by means of automatic chroma control circuits	H04N	H04
H01H1/04	. . Co-operating contacts of different material	H01H	H01
H03B2201/018	. . the means being a manual switch	H03B	H03
H03K5/1536	. . Zero-crossing detectors (in measuring circuits G01R 19/175)	H03K	H03
H01R12/59	. . for flexible printed circuits, flat or ribbon cables or like structures	H01R	H01
H02P3/06	. for stopping or slowing an individual dynamo-electric motor or dynamo-electric converter	H02P	H02
H05B7/144	. . Power supplies specially adapted for heating by electric discharge; Automatic control of power, e.g. by positioning of electrodes	H05B	H05
H01J1/46	. Control electrodes, e.g. grid (for igniting arrangements H01J7/30); Auxiliary electrodes (auxiliary anodes for maintaining a discharge H01J1/36)	H01J	H01
H04W76/32	. . Release of transport tunnels	H04W	H04
H01H2239/056	. Keyboard or overlay identification features	H01H	H01
H04M2250/70	. methods for entering alphabetical characters, e.g. multi-tap or dictionary disambiguation (methods for entering alphabetical characters per se G06F 3/0237)	H04M	H04
H02B11/04	. . Isolating-contacts, e.g. mountings, shieldings (shutters or guards for isolating contacts H02B1/14, H02B11/24; switch contacts H01H;line connectors in general H01R)	H02B	H02
H01H19/02	. Details	H01H	H01
H01H27/06	. Key inserted and then turned to effect operation of the switch	H01H	H01
H01G9/14	. . Structural combinations {or circuits} for modifying, or compensating for, electric characteristics of electrolytic capacitors	H01G	H01
H02N99/00	Subject matter not provided for in other groups of this subclass	H02N	H02
H02P8/42	. characterised by non-stepper motors being operated step by step	H02P	H02
H05B7/10	. . Mountings, supports, terminals or arrangements for feeding or guiding electrodes	H05B	H05
H01L29/41	. . characterised by their shape, relative sizes or dispositions	H01L	H01
H01M8/22	. Fuel cells in which the fuel is based on materials comprising carbon or oxygen or hydrogen and other elements; Fuel cells in which the fuel is based on materials comprising only elements other than carbon, oxygen or hydrogen	H01M	H01
H01J2237/061	. . Construction	H01J	H01
H01T13/28	. . having spherically shaped electrodes, e.g. ball-shaped	H01T	H01
H01T13/41	. . with interference suppressing or shielding means	H01T	H01
H05H1/52	. . using exploding wires or spark gaps (H05H1/26 takes precedence; spark gaps in general H01T)	H05H	H05
H01Q5/307	. . Individual or coupled radiating elements, each element being fed in an unspecified way	H01Q	H01
H01L2224/18	. . High density interconnect [HDI] connectors; Manufacturing methods related thereto	H01L	H01
H01H2219/056	. . Diffuser; Uneven surface	H01H	H01
H01H2219/06	. . Reflector	H01H	H01
H04N1/52	. . Circuits or arrangements for halftone screening	H04N	H04
H01H35/40	. . actuated by devices allowing continual flow of fluid, e.g. vane	H01H	H01
H03K5/131	. . Digitally controlled	H03K	H03
H01L2924/01025	. . Manganese [Mn]	H01L	H01
H04J9/00	Multiplex systems in which each channel is represented by a different type of modulation of the carrier	H04J	H04
H01F27/20	. . Cooling by special gases or non-ambient air	H01F	H01
H01L31/0256	. . characterised by the material	H01L	H01
H04N19/10	. using adaptive coding	H04N	H04
H05K2203/1377	. . Protective layers	H05K	H05
H01R2201/02	. for antennas	H01R	H01
H05K2203/1305	. . Moulding and encapsulation	H05K	H05
H02H3/38	. responsive to both voltage and current; responsive to phase angle between voltage and current	H02H	H02
H05K3/44	. Manufacturing insulated metal core circuits {or other insulated electrically conductive core circuits (H05K3/0058, H05K3/4608, and H05K3/4641 take precedence)}	H05K	H05
H04N2213/008	. Aspects relating to glasses for viewing stereoscopic images	H04N	H04
H01T4/16	. having a plurality of gaps arranged in series	H01T	H01
H01B3/56	. . gases	H01B	H01
H04N2201/001	. . Sharing resources, e.g. processing power or memory, with a connected apparatus or enhancing the capability of the still picture apparatus	H04N	H04
H02B5/02	. mounted on pole, e.g. pole transformer substation	H02B	H02
H03F2203/45614	. . the IC comprising two cross coupled switches	H03F	H03
H04N19/48	. using compressed domain processing techniques other than decoding, e.g. modification of transform coefficients, variable length coding [VLC] data or run-length data (motion estimation in a transform domain H04N19/547; processing of decoded motion vectors H04N19/513)	H04N	H04
H03F2203/30003	. . the SEPP amplifier stage comprising calibration possibility	H03F	H03
H03F2203/30066	. . A optical element being used in the bias circuit of the SEPP-amplifier	H03F	H03
H04L12/04	. . Switchboards	H04L	H04
H01R13/50	. . formed as an integral body (H01R13/514 takes precedence)	H01R	H01
H02P23/04	. specially adapted for damping motor oscillations, e.g. for reducing hunting	H02P	H02
H03B5/08	. with frequency-determining element comprising lumped inductance and capacitance	H03B	H03
H01S5/34	. . comprising quantum well or superlattice structures, e.g. single quantum well lasers [SQW-lasers], multiple quantum well lasers [MQW-lasers] or graded index separate confinement heterostructure lasers [GRINSCH-lasers] (H01S5/36 takes precedence)	H01S	H01
H01L2924/0665	. . Epoxy resin	H01L	H01
H05K13/00	Apparatus or processes specially adapted for manufacturing or adjusting assemblages of electric components	H05K	H05
H02K11/24	. . Devices for sensing torque, or actuated thereby (H02K11/27 takes precedence)	H02K	H02
H01H19/36	. the operating part having only two operative positions, e.g. relatively displaced by 180 degrees	H01H	H01
H05B33/18	. . characterised by the nature or concentration of the activator	H05B	H05
H04N19/63	. . using sub-band based transform, e.g. wavelets	H04N	H04
H01H2239/036	. . Heating, e.g. against condensation	H01H	H01
H01J27/16	. . using high-frequency excitation, e.g. microwave excitation	H01J	H01
H04H2201/40	. characterised in that additional data relating to the broadcast data are available via a different channel than the broadcast channel	H04H	H04
H01J37/02	. Details	H01J	H01
H03F2203/45284	. . Sensing the temperature dependence by a temperature dependant sensor, e.g. a resistor, a diode	H03F	H03
H03B2201/02	. Varying the frequency of the oscillations by electronic means	H03B	H03
H03F3/38	. Dc amplifiers with modulator at input and demodulator at output; Modulators or demodulators specially adapted for use in such amplifiers ({switched capacitor amplifiers H03F3/005}; modulators in general H03C;demodulators in general H03D;amplitude modulation of pulses in general H03K7/02; amplitude demodulation of pulses in general H03K9/02)	H03F	H03
H01R13/00	Details of coupling devices of the kinds covered by groups H01R12/70 or H01R24/00 - H01R33/00	H01R	H01
H03F2200/27	. A biasing circuit node being switched in an amplifier circuit	H03F	H03
H01L2924/0111	. . Chalcogens	H01L	H01
H04R2225/67	. Implantable hearing aids or parts thereof not covered by H04R25/606	H04R	H04
H04M2203/1041	. . Televoting	H04M	H04
H01H2237/004	. Cantilever	H01H	H01
H04N21/80	. Generation or processing of content or additional data by content creator independently of the distribution process; Content per se {(arrangements for generating broadcast information H04H60/02)}	H04N	H04
H03F2203/45666	. . the LC comprising two anti-phase controlled inverter circuits as output stages, e.g. fully differential	H03F	H03
H04H60/56	. Arrangements characterised by components specially adapted for monitoring, identification or recognition covered by groups H04H60/29-H04H60/54	H04H	H04
H05B11/00	Heating by combined application of processes covered by two or more of groups H05B3/00 - H05B7/00 (H05B7/20 takes precedence)	H05B	H05
H03F2200/228	. A measuring circuit being coupled to the input of an amplifier	H03F	H03
H03F2200/321	. Use of a microprocessor in an amplifier circuit or its control circuit	H03F	H03
H03F2200/48	. the output of the amplifier being coupled out by a capacitor	H03F	H03
H02P3/04	. . Means for stopping or slowing by a separate brake, e.g. friction brake, eddy-current brake (brakes F16D, H02K49/00)	H02P	H02
H03L7/00	Automatic control of frequency or phase; Synchronisation (tuning of resonant circuits in general H03J;synchronising in digital communication systems, see the relevant groups in class H04)	H03L	H03
H01H2239/044	. High voltage application	H01H	H01
H05B6/74	. . Mode transformers or mode stirrers	H05B	H05
H01Q13/12	. . Longitudinally slotted cylinder antennas; Equivalent structures	H01Q	H01
H01G9/22	. Devices using combined reduction and oxidation, e.g. redox arrangement or solion	H01G	H01
H04H20/30	. . by a single channel	H04H	H04
H01H3/30	. . using spring motor	H01H	H01
H01H3/36	. . using belt, chain, or cord	H01H	H01
H01R12/82	. . connected with low or zero insertion force	H01R	H01
H01H13/52	. . the contact returning to its original state immediately upon removal of operating force, e.g. bell-push switch	H01H	H01
H01T13/22	. . having two or more electrodes embedded in insulation (sparking plugs having two or more spark gaps H01T13/46)	H01T	H01
H01T13/46	. having two or more spark gaps	H01T	H01
H01J37/305	. . for casting, melting, evaporating or etching {(methods for casting or melting of metals with electron beam or gas discharges C22B 9/22)}	H01J	H01
H01H43/02	. Details	H01H	H01
H01S5/20	. Structure or shape of the semiconductor body to guide the optical wave {; Confining structures perpendicular to the optical axis, e.g. index or gain guiding, stripe geometry, broad area lasers, gain tailoring, transverse or lateral reflectors, special cladding structures, MQW barrier reflection layers}	H01S	H01
H01S5/32	. . comprising PN junctions, e.g. hetero- or double- heterostructures (H01S5/34, H01S5/36 take precedence)	H01S	H01
H01H21/60	. . Change-over switches with stable intermediate position	H01H	H01
H04N7/00	Television systems (details H04N3/00, H04N5/00; methods or arrangements, for coding, decoding, compressing or decompressing digital video signals H04N19/00; selective content distribution H04N21/00)	H04N	H04
H03F2203/45228	. . A transformer being added at the output or the load circuit of the dif amp	H03F	H03
H03F2203/45731	. . the LC comprising a transformer	H03F	H03
H01H3/28	. . using electromagnet (for storing energy in a spring motor H01H3/30; for operating relays H01H45/00)	H01H	H01
H03F2203/45014	. . the addition of two signals being made in the tail circuit of a differential amplifier for producing the common mode signal	H03F	H03
H02G3/00	Installations of electric cables or lines in or on buildings, equivalent structures or vehicles (installations of bus-bars H02G5/00; overhead installations H02G7/00; installations in or on the ground H02G9/00; channels or vertical ducts for receiving utility lines E04F 17/08; wiring of electric apparatus in general H05K)	H02G	H02
H03L2207/06	. Phase locked loops with a controlled oscillator having at least two frequency control terminals	H03L	H03
H04W68/06	. using multi-step notification by changing the notification area	H04W	H04
H05B2213/00	Aspects relating both to resistive heating and to induction heating, covered by H05B3/00 and H05B6/00	H05B	H05
H01J2235/062	. . Cold cathodes	H01J	H01
H04L2209/608	. . Watermarking	H04L	H04
H02H6/00	Emergency protective circuit arrangements responsive to undesired changes from normal non-electric working conditions using simulators of the apparatus being protected, e.g. using thermal images	H02H	H02
H01J9/32	. . Sealing leading-in conductors	H01J	H01
H01J2237/03	. Mounting, supporting, spacing or insulating electrodes	H01J	H01
H04M2215/62	. Called party billing, e.g. reverse billing, freephone, collect call, 0800 or 0900	H04M	H04
H01Q19/28	. using a secondary device in the form of two or more substantially straight conductive elements (log- periodic antennas H01Q11/10; constituting a reflecting surface H01Q19/10)	H01Q	H01
H01L39/22	. Devices comprising a junction of dissimilar materials, e.g. Josephson-effect devices	H01L	H01
H01M2200/105	. . NTC	H01M	H01
H04L2209/64	. Self-signed certificates	H04L	H04
H02K15/085	. . by laying conductors into slotted stators	H02K	H02
H05B6/60	. . Arrangements for continuous movement of material	H05B	H05
H01L29/04	. . characterised by their crystalline structure, e.g. polycrystalline, cubic or particular orientation of crystalline planes (characterised by physical imperfections H01L29/30)	H01L	H01
H01H45/14	. Terminal arrangements	H01H	H01
H01H45/08	. Indicators; Distinguishing marks	H01H	H01
H04R2460/05	. Electronic compensation of the occlusion effect	H04R	H04
H01G5/18	. . due to change in inclination, e.g. by flexing, by spiral wrapping	H01G	H01
H01L2933/0083	. Periodic patterns for optical field-shaping in or on the semiconductor body or semiconductor body package, e.g. photonic bandgap structures	H01L	H01
H01H50/08	. Indicators; Distinguishing marks	H01H	H01
H05B3/62	. Heating elements specially adapted for furnaces (H05B3/60 takes precedence; arrangements of such elements in furnaces F27, e.g. F27D 11/00)	H05B	H05
H01H3/40	. . using friction, toothed, or screw-and-nut gearing	H01H	H01
H01T4/12	. . hermetically sealed	H01T	H01
H01F41/20	. . by evaporation	H01F	H01
H01G11/76	. . specially adapted for integration in multiple or stacked hybrid or EDL capacitors	H01G	H01
H01L25/00	Assemblies consisting of a plurality of individual semiconductor or other solid state devices {; Multistep manufacturing processes thereof}(devices consisting of a plurality of solid state components formed in or on a common substrate H01L27/00; photovoltaic modules or arrays of photovoltaic cells H01L31/042 {; panels or arrays of photo electrochemical cells H01G9/2068})	H01L	H01
H04B3/58	. . Repeater circuits	H04B	H04
H01L43/00	Devices using galvano-magnetic or similar magnetic effects; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof (devices consisting of a plurality of solid state components formed in or on a common substrate H01L27/00)	H01L	H01
H01H43/04	. . Means for time setting	H01H	H01
H01R11/05	. . the connecting locations having different types of direct connections	H01R	H01
H04N19/90	. using coding techniques not provided for in groups H04N19/10-H04N19/85, e.g. fractals	H04N	H04
H01J3/04	. Ion guns {(see provisionally also H01J27/00)}	H01J	H01
H01J61/12	. . Selection of substances for gas fillings; Specified operating pressure or temperature	H01J	H01
H01J61/66	. . having one or more specially shaped cathodes, e.g. for advertising purposes {alphanumeric}	H01J	H01
H01J61/72	. . having a main light-emitting filling of easily vaporisable metal vapour, e.g. mercury	H01J	H01
H01H15/04	. . Stationary parts; Contacts mounted thereon	H01H	H01
H01T2/02	. comprising a trigger electrode or an auxiliary spark gap	H01T	H01
H02B5/01	. Earthing arrangements, e.g. earthing rods	H02B	H02
H02B1/04	. . Mounting thereon of switches or of other devices in general, the switch or device having, or being without, casing	H02B	H02
H02H3/46	. responsive to frequency deviations	H02H	H02
H01M8/1007	. . with both reactants being gaseous or vaporised (H01M8/12 takes precedence)	H01M	H01
H01H3/60	. Mechanical arrangements for preventing or damping vibration or shock	H01H	H01
H03F2200/498	. A resistor being added in the source circuit of a transistor amplifier stage as degenerating element	H03F	H03
H03F2200/75	. the amplifier stage being a common source configuration MOSFET	H03F	H03
H04B10/118	. . specially adapted for satellite communication	H04B	H04
H04J14/06	. Polarisation multiplex systems	H04J	H04
H04B2210/003	. Devices including multiple stages, e.g., multi-stage optical amplifiers or dispersion compensators	H04B	H04
H02M7/40	. . by combination of static with dynamic converters; by combination of dynamo-electric with other dynamic or static converters	H02M	H02
H01L2224/72	. . Detachable connecting means consisting of mechanical auxiliary parts connecting the device, e.g. pressure contacts using springs or clips	H01L	H01
H02K44/16	. . Constructional details of the magnetic circuits	H02K	H02
H01H1/02	. characterised by the material thereof {(containing gas-evolving material H01H33/765)}	H01H	H01
H01T13/04	. . Means providing electrical connection to sparking plugs	H01T	H01
H03K17/16	. Modifications for eliminating interference voltages or currents	H03K	H03
H02K21/10	. . Rotating armatures	H02K	H02
H01H33/28	. . Power arrangements internal to the switch for operating the driving mechanism	H01H	H01
H01S3/16	. . Solid materials	H01S	H01
H04N1/54	. . Conversion of colour picture signals to a plurality of signals some of which represent particular mixed colours, e.g. for textile printing	H04N	H04
H04Q11/02	. for frequency-division multiplexing {(H04Q11/0001 takes precedence)}	H04Q	H04
H03F2200/456	. A scaled replica of a transistor being present in an amplifier	H03F	H03
H03F2203/45154	. . the bias at the input of the amplifying transistors being controlled	H03F	H03
H03F2203/45156	. . At least one capacitor being added at the input of a dif amp	H03F	H03
H01C17/02	. adapted for manufacturing resistors with envelope or housing	H01C	H01
H01Q3/12	. using mechanical relative movement between primary active elements and secondary devices of antennas or antenna systems	H01Q	H01
H01B13/28	. Applying continuous inductive loading, e.g. Krarup loading	H01B	H01
H02P23/08	. Controlling based on slip frequency, e.g. adding slip frequency and speed proportional frequency	H02P	H02
H04Q1/04	. . Frames or mounting racks for selector switches; Accessories therefor, e.g. frame cover	H04Q	H04
H02H3/093	. . with timing means {(in general H02H3/027; thermal delay H02H3/085; timing means for undervoltage protection H02H3/247)}	H02H	H02
H03M11/02	. Details	H03M	H03
H04M2201/80	. line protection circuits such as current or overvoltage protection circuits	H04M	H04
H04N21/20	. Servers specifically adapted for the distribution of content, e.g. VOD servers; Operations thereof	H04N	H04
H04W74/00	Wireless channel access, e.g. scheduled or random access	H04W	H04
H02B11/167	. . truck type (H02B11/127 takes precedence)	H02B	H02
H01H3/44	. . using Geneva movement	H01H	H01
H04Q9/10	. . using single different frequencies	H04Q	H04
H05B2203/018	. Heaters using heating elements comprising mosi2	H05B	H05
H01F1/0036	. showing low dimensional magnetism, i.e. spin rearrangements due to a restriction of dimensions	H01F	H01
H02P29/20	. for controlling one motor used for different sequential operations	H02P	H02
H04M2215/0192	. . Sponsored, subsidised calls via advertising, e.g. calling cards with ads or connecting to special ads, free calling time by purchasing goods	H04M	H04
H05H2277/11	. . Radiotherapy	H05H	H05
H01L2924/01008	. . Oxygen [O]	H01L	H01
H05H7/14	. Vacuum chambers (H05H5/03 takes precedence)	H05H	H05
H01J41/12	. Discharge tubes for evacuating by diffusion of ions, e.g. ion pumps, getter ion pumps	H01J	H01
H01F3/04	. made from strips or ribbons	H01F	H01
H01F3/06	. made from wires	H01F	H01
H05B3/66	. . Supports or mountings for heaters on or in the wall or roof	H05B	H05
H01H3/62	. Lubricating means structurally associated with the switch (for lubricating contact-making surfaces H01H1/60)	H01H	H01
H05K3/08	. . the conductive material being removed by electric discharge, e.g. by spark erosion	H05K	H05
H01C10/30	. the contact sliding along resistive element	H01C	H01
H02P8/36	. Protection against faults, e.g. against overheating, step-out; Indicating faults (emergency protective arrangements with automatic interruption of supply H02H7/08)	H02P	H02
H01G4/002	. Details	H01G	H01
H04R2205/041	. Adaptation of stereophonic signal reproduction for the hearing impaired	H04R	H04
H04Q2209/10	. using a centralized architecture	H04Q	H04
H01Q19/24	. . the primary active element being centre-fed and substantially straight, e.g. H-antenna	H01Q	H01
H04N1/34	. . for coin-freed systems {; Pay systems}	H04N	H04
H01S5/062	. . by varying the potential of the electrodes (H01S5/065 takes precedence)	H01S	H01
H01G4/35	. Feed-through capacitors or anti-noise capacitors	H01G	H01
H01R35/02	. Flexible line connectors {without frictional contact members}	H01R	H01
H01H2219/036	. Light emitting elements	H01H	H01
H01Q15/23	. Combinations of reflecting surfaces with refracting or diffracting devices	H01Q	H01
H01H2217/034	. Support for hands or arms	H01H	H01
H01J2237/026	. . Shields	H01J	H01
H02K9/26	. Structural association of machines with devices for cleaning or drying cooling medium, e.g. with filters	H02K	H02
H03K2217/94036	. . Multiple detection, i.e. where different switching signals are generated after operation of the user is detected at different time instants at different locations during the actuation movement by two or more sensors of the same or different kinds	H03K	H03
H04N7/167	. . Systems rendering the television signal unintelligible and subsequently intelligible	H04N	H04
H01J2237/053	. . electrostatic	H01J	H01
H01J2237/24485	. . Energy spectrometers	H01J	H01
H04K2203/10	. Jamming or countermeasure used for a particular application	H04K	H04
H02K7/12	. . with auxiliary limited movement of stators, rotors or core parts, e.g. rotors axially movable for the purpose of clutching or braking	H02K	H02
H01C1/022	. . the housing or enclosure being openable or separable from the resistive element	H01C	H01
H03F3/70	. Charge amplifiers	H03F	H03
H01K1/24	. . Mounts for lamps with connections at opposite ends, e.g. for tubular lamp	H01K	H01
H01K1/28	. Envelopes; Vessels	H01K	H01
H01K1/32	. . provided with coatings on the walls; Vessels or coatings thereon characterised by the material thereof	H01K	H01
H01L2227/32	. Devices including an organic light emitting device [OLED], e.g. OLED display	H01L	H01
H01T4/08	. structurally associated with protected apparatus (with switches H01H9/14; with fuses H01H85/44)	H01T	H01
H03M1/82	. . with intermediate conversion to time interval	H03M	H03
H03H2210/043	. . by measuring time constant	H03H	H03
H03K3/00	Circuits for generating electric pulses; Monostable, bistable or multistable circuits (H03K4/00 takes precedence; for digital function generators in computers G06F 1/02)	H03K	H03
H01H2219/014	. . LED	H01H	H01
H03B5/26	. . frequency-determining element being part of bridge circuit in closed ring around which signal is transmitted; frequency-determining element being connected via a bridge circuit to such a closed ring, e.g. Wien-Bridge oscillator, parallel-T oscillator	H03B	H03
